question_id,pipeline,rank,chunk_id,score,distance,page,chapter,section,labels,metadata_filter_used,metadata_filter_fallback_used
Q04,metadata,2,B-0009,0.272300303,0.727699697,16,BAB III,B. Diagnosis,diagnosis umum diabetes,1,0
Q04,metadata,3,B-0007,0.2469306588,0.7530693412,16,BAB III,B. Diagnosis,diagnosis umum diabetes,1,0
Q04,metadata,4,B-0046,0.2296983004,0.7703016996,34,BAB III,C. Diabetes Melitus Tipe-1,dosis insulin|pemantauan hba1c|pemantauan glukosa,1,0
Q04,metadata,5,B-0082,0.2295903563,0.7704096437,51,BAB III,C. Diabetes Melitus Tipe-1,pemantauan hba1c|pemantauan glukosa|penyesuaian insulin,1,0
Q05,baseline,1,A-0012,0.428653121,0.571346879,,,,,0,0
Q05,baseline,2,A-0003,0.4209599495,0.5790400505,,,,,0,0
Q05,baseline,3,A-0177,0.3675661087,0.6324338913,,,,,0,0
Q05,baseline,4,A-0011,0.3652478456,0.6347521544,,,,,0,0
Q05,baseline,5,A-0221,0.3444982767,0.6555017233,,,,,0,0
Q05,metadata,1,B-0012,0.428653121,0.571346879,17,BAB III,C. Diabetes Melitus Tipe-1,diagnosis dm tipe-1,1,0
Q05,metadata,2,B-0003,0.4209599495,0.5790400505,14,BAB III,A. Definisi dan Klasifikasi,klasifikasi diabetes|diagnosis dm tipe-1,1,0
Q05,metadata,3,B-0011,0.3652478456,0.6347521544,17,BAB III,C. Diabetes Melitus Tipe-1,diagnosis dm tipe-1|pemeriksaan c-peptida,1,0
Q05,metadata,4,B-0004,0.3145821095,0.6854178905,14,BAB III,A. Definisi dan Klasifikasi,klasifikasi diabetes|diagnosis dm tipe-1|pemeriksaan c-peptida,1,0
Q05,metadata,5,B-0006,0.3069468737,0.6930531263,15,BAB III,A. Definisi dan Klasifikasi,diagnosis dm tipe-1|klasifikasi diabetes,1,0
Q06,baseline,1,A-0091,0.4243735075,0.5756264925,,,,,0,0
Q06,baseline,2,A-0017,0.3786655664,0.6213344336,,,,,0,0
Q06,baseline,3,A-0090,0.3725470901,0.6274529099,,,,,0,0
Q06,baseline,4,A-0084,0.3439922333,0.6560077667,,,,,0,0
Q06,baseline,5,A-0089,0.3244267702,0.6755732298,,,,,0,0
Q06,metadata,1,B-0091,0.4243735075,0.5756264925,55,BAB III,C. Diabetes Melitus Tipe-1,komplikasi akut kad|pemeriksaan keton,1,0
Q06,metadata,2,B-0017,0.3786655664,0.6213344336,20,BAB III,C. Diabetes Melitus Tipe-1,komplikasi akut kad|diagnosis dm tipe-1,1,0
Q06,metadata,3,B-0090,0.3725470901,0.6274529099,55,BAB III,C. Diabetes Melitus Tipe-1,tata laksana saat sakit|pemeriksaan keton|komplikasi akut kad,1,0
Q06,metadata,4,B-0084,0.3439922333,0.6560077667,52,BAB III,C. Diabetes Melitus Tipe-1,tata laksana saat sakit|komplikasi akut kad|pemeriksaan keton,1,0
Q06,metadata,5,B-0089,0.3244267702,0.6755732298,55,BAB III,C. Diabetes Melitus Tipe-1,pemeriksaan keton|tata laksana saat sakit|komplikasi akut kad,1,0
Q07,baseline,1,A-0019,0.4154030085,0.5845969915,,,,,0,0
Q07,baseline,2,A-0042,0.1970114708,0.8029885292,,,,,0,0
Q07,baseline,3,A-0013,0.1922210455,0.8077789545,,,,,0,0
Q07,baseline,4,A-0018,0.181137979,0.818862021,,,,,0,0
Q07,baseline,5,A-0005,0.166744113,0.833255887,,,,,0,0
Q07,metadata,1,B-0019,0.4155260324,0.5844739676,21,BAB III,C. Diabetes Melitus Tipe-1,pengelolaan dm tipe-1|hipoglikemia|pemantauan hba1c,1,0
Q07,metadata,2,B-0042,0.1972165108,0.8027834892,32,BAB III,C. Diabetes Melitus Tipe-1,regimen insulin|terapi insulin|pemantauan hba1c,1,0
Q07,metadata,3,B-0192,0.1555452943,0.8444547057,103,BAB III,D. Diabetes Melitus Tipe-2,monitoring dm tipe-2|pemantauan hba1c|pemantauan glukosa,1,0
Q07,metadata,4,B-0021,0.1546319723,0.8453680277,22,BAB III,C. Diabetes Melitus Tipe-1,pengelolaan dm tipe-1|edukasi diabetes dm tipe-1|manajemen di sekolah,1,0
Q07,metadata,5,B-0023,0.0749999881,0.9250000119,23,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|terapi insulin|pengelolaan dm tipe-1,1,0
Q08,baseline,1,A-0021,0.4726557732,0.5273442268,,,,,0,0
Q08,baseline,2,A-0019,0.3969578743,0.6030421257,,,,,0,0
Q08,baseline,3,A-0020,0.3547888994,0.6452111006,,,,,0,0
Q08,baseline,4,A-0206,0.344942987,0.655057013,,,,,0,0
Q08,baseline,5,A-0130,0.3377474546,0.6622525454,,,,,0,0
Q08,metadata,1,B-0021,0.4726557732,0.5273442268,22,BAB III,C. Diabetes Melitus Tipe-1,pengelolaan dm tipe-1|edukasi diabetes dm tipe-1|manajemen di sekolah,1,0
Q08,metadata,2,B-0019,0.3969578743,0.6030421257,21,BAB III,C. Diabetes Melitus Tipe-1,pengelolaan dm tipe-1|hipoglikemia|pemantauan hba1c,1,0
Q08,metadata,3,B-0206,0.344942987,0.655057013,111,BAB IV,A. Diabetes Melitus Tipe-1,pengelolaan dm tipe-1|rekomendasi dm tipe-1|terapi insulin,1,0
Q08,metadata,4,B-0057,0.284452796,0.715547204,40,BAB III,C. Diabetes Melitus Tipe-1,teknik penyuntikan insulin|edukasi diabetes dm tipe-1,1,0
Q08,metadata,5,B-0059,0.2668662667,0.7331337333,41,BAB III,C. Diabetes Melitus Tipe-1,pengaturan makan dm tipe-1|teknik penyuntikan insulin,1,0
Q09,baseline,1,A-0023,0.4406864643,0.5593135357,,,,,0,0
Q09,baseline,2,A-0021,0.3316270709,0.6683729291,,,,,0,0
Q09,baseline,3,A-0110,0.3264191151,0.6735808849,,,,,0,0
Q09,baseline,4,A-0019,0.3222557306,0.6777442694,,,,,0,0
Q09,baseline,5,A-0005,0.316165328,0.683834672,,,,,0,0
Q09,metadata,1,B-0023,0.4407920837,0.5592079163,23,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|terapi insulin|pengelolaan dm tipe-1,1,0
Q09,metadata,2,B-0206,0.2921258807,0.7078741193,111,BAB IV,A. Diabetes Melitus Tipe-1,pengelolaan dm tipe-1|rekomendasi dm tipe-1|terapi insulin,1,0
Q09,metadata,3,B-0041,0.2691268921,0.7308731079,32,BAB III,C. Diabetes Melitus Tipe-1,regimen insulin|penyesuaian insulin|terapi insulin,1,0
Q09,metadata,4,B-0067,0.2676756382,0.7323243618,44,BAB III,C. Diabetes Melitus Tipe-1,pengaturan makan dm tipe-1|regimen insulin,1,0
Q09,metadata,5,B-0029,0.2217651606,0.7782348394,26,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|terapi insulin|regimen insulin,1,0
Q10,baseline,1,A-0024,0.3523975015,0.6476024985,,,,,0,0
Q10,baseline,2,A-0025,0.3294956684,0.6705043316,,,,,0,0
Q10,baseline,3,A-0034,0.2929430604,0.7070569396,,,,,0,0
Q10,baseline,4,A-0027,0.2573294044,0.7426705956,,,,,0,0
Q10,baseline,5,A-0035,0.2407387495,0.7592612505,,,,,0,0
Q10,metadata,1,B-0024,0.3523975015,0.6476024985,23,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin,1,0
Q10,metadata,2,B-0025,0.3294956684,0.6705043316,24,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|regimen insulin,1,0
Q10,metadata,3,B-0034,0.2929430604,0.7070569396,28,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|regimen insulin,1,0
Q10,metadata,4,B-0027,0.2573294044,0.7426705956,25,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|regimen insulin|tata laksana saat sakit,1,0
Q10,metadata,5,B-0035,0.2407387495,0.7592612505,29,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin,1,0
Q11,baseline,1,A-0031,0.5131369233,0.4868630767,,,,,0,0
Q11,baseline,2,A-0032,0.4798964262,0.5201035738,,,,,0,0
Q11,baseline,3,A-0030,0.3765100241,0.6234899759,,,,,0,0
Q11,baseline,4,A-0024,0.3743835688,0.6256164312,,,,,0,0
Q11,baseline,5,A-0036,0.3637285829,0.6362714171,,,,,0,0
Q11,metadata,1,B-0031,0.5131369233,0.4868630767,27,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|regimen insulin|hipoglikemia,1,0
Q11,metadata,2,B-0032,0.4798964262,0.5201035738,27,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin,1,0
Q11,metadata,3,B-0030,0.3765100241,0.6234899759,26,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|terapi insulin|regimen insulin,1,0
Q11,metadata,4,B-0024,0.3743835688,0.6256164312,23,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin,1,0
Q11,metadata,5,B-0036,0.3637285829,0.6362714171,29,BAB III,C. Diabetes Melitus Tipe-1,jenis insulin|regimen insulin|aspek psikososial,1,0
Q12,baseline,1,A-0040,0.4743099213,0.5256900787,,,,,0,0
Q12,baseline,2,A-0039,0.4567754269,0.5432245731,,,,,0,0
Q12,baseline,3,A-0057,0.3513169885,0.6486830115,,,,,0,0
Q12,baseline,4,A-0037,0.3494541049,0.6505458951,,,,,0,0
Q12,baseline,5,A-0038,0.3457193375,0.6542806625,,,,,0,0
Q12,metadata,1,B-0040,0.4743099213,0.5256900787,31,BAB III,C. Diabetes Melitus Tipe-1,regimen insulin|teknik penyuntikan insulin,1,0
Q12,metadata,2,B-0039,0.4567754269,0.5432245731,31,BAB III,C. Diabetes Melitus Tipe-1,penyimpanan insulin|teknik penyuntikan insulin,1,0
Q12,metadata,3,B-0057,0.3513169885,0.6486830115,40,BAB III,C. Diabetes Melitus Tipe-1,teknik penyuntikan insulin|edukasi diabetes dm tipe-1,1,0
Q12,metadata,4,B-0037,0.3494541049,0.6505458951,30,BAB III,C. Diabetes Melitus Tipe-1,penyimpanan insulin|jenis insulin,1,0
Q12,metadata,5,B-0038,0.3457193375,0.6542806625,30,BAB III,C. Diabetes Melitus Tipe-1,penyimpanan insulin,1,0
Q13,baseline,1,A-0065,0.3769012094,0.6230987906,,,,,0,0
Q13,baseline,2,A-0059,0.3343794942,0.6656205058,,,,,0,0
Q13,baseline,3,A-0021,0.296854496,0.703145504,,,,,0,0
Q13,baseline,4,A-0060,0.2940430045,0.7059569955,,,,,0,0
Q13,baseline,5,A-0019,0.2895007133,0.7104992867,,,,,0,0
Q13,metadata,1,B-0065,0.3769012094,0.6230987906,43,BAB III,C. Diabetes Melitus Tipe-1,pengaturan makan dm tipe-1|pemantauan glukosa,1,0
Q13,metadata,2,B-0059,0.3343794942,0.6656205058,41,BAB III,C. Diabetes Melitus Tipe-1,pengaturan makan dm tipe-1|teknik penyuntikan insulin,1,0
Q13,metadata,3,B-0021,0.296854496,0.703145504,22,BAB III,C. Diabetes Melitus Tipe-1,pengelolaan dm tipe-1|edukasi diabetes dm tipe-1|manajemen di sekolah,1,0
Q13,metadata,4,B-0060,0.2940430045,0.7059569955,41,BAB III,C. Diabetes Melitus Tipe-1,pengaturan makan dm tipe-1|pertumbuhan dm tipe-1|hipoglikemia,1,0
Q13,metadata,5,B-0067,0.2724826336,0.7275173664,44,BAB III,C. Diabetes Melitus Tipe-1,pengaturan makan dm tipe-1|regimen insulin,1,0
Q14,baseline,1,A-0081,0.4906561375,0.5093438625,,,,,0,0
Q14,baseline,2,A-0082,0.4209797978,0.5790202022,,,,,0,0
Q14,baseline,3,A-0209,0.4114130139,0.5885869861,,,,,0,0
Q14,baseline,4,A-0020,0.3493798971,0.6506201029,,,,,0,0
Q14,baseline,5,A-0207,0.3039163351,0.6960836649,,,,,0,0
Q14,metadata,1,B-0081,0.4906561375,0.5093438625,51,BAB III,C. Diabetes Melitus Tipe-1,pemantauan hba1c|hipoglikemia,1,0
Q14,metadata,2,B-0082,0.4209797978,0.5790202022,51,BAB III,C. Diabetes Melitus Tipe-1,pemantauan hba1c|pemantauan glukosa|penyesuaian insulin,1,0
Q14,metadata,3,B-0209,0.4114130139,0.5885869861,112,BAB IV,A. Diabetes Melitus Tipe-1,pemantauan hba1c|rekomendasi dm tipe-1|hipoglikemia,1,0
Q14,metadata,4,B-0020,0.3493798971,0.6506201029,21,BAB III,C. Diabetes Melitus Tipe-1,pemantauan hba1c|peran tim kesehatan diabetes anak,1,0
Q14,metadata,5,B-0046,0.270996809,0.729003191,34,BAB III,C. Diabetes Melitus Tipe-1,dosis insulin|pemantauan hba1c|pemantauan glukosa,1,0
Q15,baseline,1,A-0131,0.4689791203,0.5310208797,,,,,0,0
Q15,baseline,2,A-0212,0.3275419474,0.6724580526,,,,,0,0
Q15,baseline,3,A-0017,0.3137867451,0.6862132549,,,,,0,0
Q15,baseline,4,A-0018,0.2994859219,0.7005140781,,,,,0,0
Q15,baseline,5,A-0090,0.2741881609,0.7258118391,,,,,0,0
Q15,metadata,1,B-0131,0.4689791203,0.5310208797,73,BAB III,C. Diabetes Melitus Tipe-1,komplikasi akut kad,1,0
Q15,metadata,2,B-0212,0.3275419474,0.6724580526,113,BAB IV,A. Diabetes Melitus Tipe-1,komplikasi akut kad|rekomendasi kad,1,0
Q15,metadata,3,B-0017,0.3137867451,0.6862132549,20,BAB III,C. Diabetes Melitus Tipe-1,komplikasi akut kad|diagnosis dm tipe-1,1,0
Q15,metadata,4,B-0018,0.2994859219,0.7005140781,20,BAB III,C. Diabetes Melitus Tipe-1,diagnosis dm tipe-1|komplikasi akut kad,1,0
Q15,metadata,5,B-0090,0.2741881609,0.7258118391,55,BAB III,C. Diabetes Melitus Tipe-1,tata laksana saat sakit|pemeriksaan keton|komplikasi akut kad,1,0
Q16,baseline,1,A-0222,0.4538969994,0.5461030006,,,,,0,0
Q16,baseline,2,A-0013,0.4513465166,0.5486534834,,,,,0,0
Q16,baseline,3,A-0193,0.4110543728,0.5889456272,,,,,0,0
Q16,baseline,4,A-0130,0.369915843,0.630084157,,,,,0,0
Q16,baseline,5,A-0196,0.3604310155,0.6395689845,,,,,0,0
Q16,metadata,1,B-0130,0.369915843,0.630084157,73,BAB III,C. Diabetes Melitus Tipe-1,komplikasi akut kad|komplikasi kronik dm tipe-1,1,0
Q16,metadata,2,B-0166,0.3161504269,0.6838495731,90,BAB III,C. Diabetes Melitus Tipe-1,komplikasi kronik dm tipe-1|aktivitas fisik dm tipe-1,1,0
Q16,metadata,3,B-0173,0.289313674,0.710686326,94,BAB III,C. Diabetes Melitus Tipe-1,komplikasi kronik dm tipe-1|skrining komplikasi dm tipe-1,1,0
Q16,metadata,4,B-0167,0.249394238,0.750605762,91,BAB III,C. Diabetes Melitus Tipe-1,skrining komplikasi dm tipe-1|komplikasi kronik dm tipe-1,1,0
Q16,metadata,5,B-0165,0.2411317825,0.7588682175,90,BAB III,C. Diabetes Melitus Tipe-1,hipoglikemia|komplikasi kronik dm tipe-1,1,0
Q17,baseline,1,A-0177,0.4653068185,0.5346931815,,,,,0,0
Q17,baseline,2,A-0221,0.4423174858,0.5576825142,,,,,0,0
Q17,baseline,3,A-0218,0.336725235,0.663274765,,,,,0,0
Q17,baseline,4,A-0187,0.3330901265,0.6669098735,,,,,0,0
Q17,baseline,5,A-0011,0.3309127092,0.6690872908,,,,,0,0
Q17,metadata,1,B-0177,0.4653068185,0.5346931815,96,BAB III,D. Diabetes Melitus Tipe-2,diagnosis dm tipe-2|skrining komorbiditas dm tipe-1,1,0
Q18,baseline,1,A-0003,0.4714865685,0.5285134315,,,,,0,0
Q18,baseline,2,A-0221,0.4225715399,0.5774284601,,,,,0,0
Q18,baseline,3,A-0004,0.3657819629,0.6342180371,,,,,0,0
Q18,baseline,4,A-0177,0.3400759697,0.6599240303,,,,,0,0
Q18,baseline,5,A-0187,0.3281390667,0.6718609333,,,,,0,0
Q18,metadata,1,B-0177,0.3400759697,0.6599240303,96,BAB III,D. Diabetes Melitus Tipe-2,diagnosis dm tipe-2|skrining komorbiditas dm tipe-1,1,0
Q18,metadata,2,B-0178,0.3247401118,0.6752598882,96,BAB III,D. Diabetes Melitus Tipe-2,skrining dm tipe-2,1,0
Q19,baseline,1,A-0021,0.3610625267,0.6389374733,,,,,0,0
Q19,baseline,2,A-0183,0.2687621117,0.7312378883,,,,,0,0
Q19,baseline,3,A-0187,0.2558180094,0.7441819906,,,,,0,0
Q19,baseline,4,A-0182,0.2512722611,0.7487277389,,,,,0,0
Q19,baseline,5,A-0112,0.2438040376,0.7561959624,,,,,0,0
Q19,metadata,1,B-0183,0.2687621117,0.7312378883,99,BAB III,D. Diabetes Melitus Tipe-2,aktivitas fisik dm tipe-2|pengaturan makan dm tipe-2,1,0
Q19,metadata,2,B-0187,0.2558180094,0.7441819906,101,BAB III,D. Diabetes Melitus Tipe-2,terapi medikamentosa dm tipe-2|gaya hidup dm tipe-2,1,0
Q19,metadata,3,B-0182,0.2512722611,0.7487277389,98,BAB III,D. Diabetes Melitus Tipe-2,pengaturan makan dm tipe-2|edukasi dm tipe-2,1,0
Q19,metadata,4,B-0179,0.2402664423,0.7597335577,97,BAB III,D. Diabetes Melitus Tipe-2,edukasi dm tipe-2|gaya hidup dm tipe-2|pengaturan makan dm tipe-2,1,0
Q19,metadata,5,B-0180,0.2378349304,0.7621650696,97,BAB III,D. Diabetes Melitus Tipe-2,gaya hidup dm tipe-2|pengaturan makan dm tipe-2|edukasi dm tipe-2,1,0
Q20,baseline,1,A-0187,0.4834464192,0.5165535808,,,,,0,0
Q20,baseline,2,A-0219,0.4704087973,0.5295912027,,,,,0,0
Q20,baseline,3,A-0021,0.3189792633,0.6810207367,,,,,0,0
Q20,baseline,4,A-0189,0.3112803698,0.6887196302,,,,,0,0
Q20,baseline,5,A-0019,0.3064641953,0.6935358047,,,,,0,0
Q20,metadata,1,B-0187,0.4834464192,0.5165535808,101,BAB III,D. Diabetes Melitus Tipe-2,terapi medikamentosa dm tipe-2|gaya hidup dm tipe-2,1,0
Q20,metadata,2,B-0219,0.4704087973,0.5295912027,116,BAB IV,G. Diabetes Melitus Tipe-2,terapi medikamentosa dm tipe-2|pengaturan makan dm tipe-2|aktivitas fisik dm tipe-2,1,0
Q20,metadata,3,B-0189,0.3112803698,0.6887196302,102,BAB III,D. Diabetes Melitus Tipe-2,terapi medikamentosa dm tipe-2|monitoring dm tipe-2,1,0
Q20,metadata,4,B-0177,0.3012142181,0.6987857819,96,BAB III,D. Diabetes Melitus Tipe-2,diagnosis dm tipe-2|skrining komorbiditas dm tipe-1,1,0
Q20,metadata,5,B-0218,0.2398046851,0.7601953149,116,BAB IV,G. Diabetes Melitus Tipe-2,rekomendasi dm tipe-2|terapi medikamentosa dm tipe-2|gaya hidup dm tipe-2,1,0
Q21,baseline,1,A-0081,0.4234552383,0.5765447617,,,,,0,0
Q21,baseline,2,A-0192,0.4057146311,0.5942853689,,,,,0,0
Q21,baseline,3,A-0020,0.3931905627,0.6068094373,,,,,0,0
Q21,baseline,4,A-0082,0.3566914797,0.6433085203,,,,,0,0
Q21,baseline,5,A-0211,0.3282974958,0.6717025042,,,,,0,0
Q21,metadata,1,B-0081,0.4234552383,0.5765447617,51,BAB III,C. Diabetes Melitus Tipe-1,pemantauan hba1c|hipoglikemia,1,0
Q21,metadata,2,B-0192,0.4057146311,0.5942853689,103,BAB III,D. Diabetes Melitus Tipe-2,monitoring dm tipe-2|pemantauan hba1c|pemantauan glukosa,1,0
Q21,metadata,3,B-0020,0.3931905627,0.6068094373,21,BAB III,C. Diabetes Melitus Tipe-1,pemantauan hba1c|peran tim kesehatan diabetes anak,1,0
Q21,metadata,4,B-0082,0.3566914797,0.6433085203,51,BAB III,C. Diabetes Melitus Tipe-1,pemantauan hba1c|pemantauan glukosa|penyesuaian insulin,1,0
Q21,metadata,5,B-0220,0.2925207615,0.7074792385,117,BAB IV,G. Diabetes Melitus Tipe-2,monitoring dm tipe-2|komplikasi dm tipe-2|terapi medikamentosa dm tipe-2,1,0
Q22,baseline,1,A-0204,0.3595963717,0.6404036283,,,,,0,0
Q22,baseline,2,A-0123,0.3343393803,0.6656606197,,,,,0,0
Q22,baseline,3,A-0203,0.3021988273,0.6978011727,,,,,0,0
Q22,baseline,4,A-0122,0.2913537621,0.7086462379,,,,,0,0
Q22,baseline,5,A-0124,0.2494652271,0.7505347729,,,,,0,0
Q22,metadata,1,B-0204,0.3595963717,0.6404036283,109,BAB III,E. Pengelolaan Pada Masa Transisi,masa transisi|peran tim kesehatan diabetes anak,1,0
Q22,metadata,2,B-0123,0.3343393803,0.6656606197,70,BAB III,C. Diabetes Melitus Tipe-1,manajemen saat perjalanan|edukasi diabetes dm tipe-1|penyesuaian insulin,1,0
Q22,metadata,3,B-0203,0.3021988273,0.6978011727,109,BAB III,E. Pengelolaan Pada Masa Transisi,masa transisi|aspek psikososial,1,0
Q22,metadata,4,B-0122,0.2913537621,0.7086462379,69,BAB III,C. Diabetes Melitus Tipe-1,manajemen saat perjalanan|edukasi diabetes dm tipe-1|penyesuaian insulin,1,0
Q22,metadata,5,B-0110,0.188765645,0.811234355,64,BAB III,C. Diabetes Melitus Tipe-1,puasa ramadhan|edukasi diabetes dm tipe-1|pemantauan glukosa,1,0
Q23,baseline,1,A-0205,0.5350979865,0.4649020135,,,,,0,0
Q23,baseline,2,A-0129,0.2721621394,0.7278378606,,,,,0,0
Q23,baseline,3,A-0128,0.2579315901,0.7420684099,,,,,0,0
Q23,baseline,4,A-0092,0.2537115216,0.7462884784,,,,,0,0
Q23,baseline,5,A-0117,0.2097899318,0.7902100682,,,,,0,0
Q23,metadata,1,B-0205,0.5350979865,0.4649020135,110,BAB III,F. Penanganan Diabetes Melitus oleh Tenaga Medis dan Tenaga Kesehatan,peran tim kesehatan diabetes anak,1,0
Q23,metadata,2,B-0128,0.2579315901,0.7420684099,72,BAB III,C. Diabetes Melitus Tipe-1,aspek psikososial|peran tim kesehatan diabetes anak|edukasi diabetes dm tipe-1,1,0
Q23,metadata,3,B-0020,0.1831626892,0.8168373108,21,BAB III,C. Diabetes Melitus Tipe-1,pemantauan hba1c|peran tim kesehatan diabetes anak,1,0
Q23,metadata,4,B-0022,0.1528398395,0.8471601605,22,BAB III,C. Diabetes Melitus Tipe-1,peran tim kesehatan diabetes anak|edukasi diabetes dm tipe-1,1,0
Q23,metadata,5,B-0204,0.1273622513,0.8726377487,109,BAB III,E. Pengelolaan Pada Masa Transisi,masa transisi|peran tim kesehatan diabetes anak,1,0
Q24,baseline,1,A-0184,0.5350705981,0.4649294019,,,,,0,0
Q24,baseline,2,A-0183,0.4913232327,0.5086767673,,,,,0,0
Q24,baseline,3,A-0069,0.4839059114,0.5160940886,,,,,0,0
Q24,baseline,4,A-0070,0.4105609655,0.5894390345,,,,,0,0
Q24,baseline,5,A-0186,0.3998097181,0.6001902819,,,,,0,0
Q24,metadata,1,B-0069,0.4839059114,0.5160940886,45,BAB III,C. Diabetes Melitus Tipe-1,aktivitas fisik dm tipe-1|hipoglikemia|komplikasi akut kad,1,0
Q24,metadata,2,B-0070,0.4105609655,0.5894390345,45,BAB III,C. Diabetes Melitus Tipe-1,aktivitas fisik dm tipe-1|penyesuaian insulin|hipoglikemia,1,0
Q24,metadata,3,B-0073,0.2753301859,0.7246698141,47,BAB III,C. Diabetes Melitus Tipe-1,aktivitas fisik dm tipe-1|penyesuaian insulin|pemantauan glukosa,1,0
Q24,metadata,4,B-0019,0.2280433178,0.7719566822,21,BAB III,C. Diabetes Melitus Tipe-1,pengelolaan dm tipe-1|hipoglikemia|pemantauan hba1c,1,0
Q24,metadata,5,B-0130,0.2272700071,0.7727299929,73,BAB III,C. Diabetes Melitus Tipe-1,komplikasi akut kad|komplikasi kronik dm tipe-1,1,0
Q25,baseline,1,A-0070,0.5663299561,0.4336700439,,,,,0,0
Q25,baseline,2,A-0073,0.5463292301,0.4536707699,,,,,0,0
Q25,baseline,3,A-0069,0.3887554407,0.6112445593,,,,,0,0
Q25,baseline,4,A-0117,0.3875248432,0.6124751568,,,,,0,0
Q25,baseline,5,A-0207,0.3746320009,0.6253679991,,,,,0,0
Q25,metadata,1,B-0070,0.5663299561,0.4336700439,45,BAB III,C. Diabetes Melitus Tipe-1,aktivitas fisik dm tipe-1|penyesuaian insulin|hipoglikemia,1,0
Q25,metadata,2,B-0073,0.5463292301,0.4536707699,47,BAB III,C. Diabetes Melitus Tipe-1,aktivitas fisik dm tipe-1|penyesuaian insulin|pemantauan glukosa,1,0
