question_id,question,source_page,chapter,section,labels
Q20,"Kalau anak baru terdiagnosis DM tipe-2, terapi obat awalnya biasanya seperti apa?",101,BAB III,D. Diabetes Melitus Tipe-2,"[""terapi medikamentosa dm tipe-2"",""diagnosis dm tipe-2""]"
Q21,"Pada DM tipe-2 anak, HbA1c biasanya dipantau seperti apa?",103,BAB III,D. Diabetes Melitus Tipe-2,"[""monitoring dm tipe-2"",""pemantauan hba1c""]"
Q22,"Menjelang masa transisi layanan diabetes, apa saja yang perlu disiapkan?",109,BAB III,E. Pengelolaan Pada Masa Transisi,"[""masa transisi"",""edukasi diabetes dm tipe-1"",""aspek psikososial""]"
Q23,"Dalam penanganan diabetes pada anak, peran tenaga medis dan tenaga kesehatan itu seperti apa?",110,BAB III,F. Penanganan Diabetes Melitus oleh Tenaga Medis dan Tenaga Kesehatan,"[""peran tim kesehatan diabetes anak""]"
Q24,"Untuk anak dengan DM tipe-1, aktivitas fisik bisa memberi manfaat apa dan risikonya apa?",45,BAB III,C. Diabetes Melitus Tipe-1,"[""aktivitas fisik dm tipe-1"",""hipoglikemia"",""komplikasi akut kad""]"
Q25,"Sebelum anak dengan DM tipe-1 mulai olahraga saat gula darah sedang tinggi, apa yang perlu diperhatikan?",46,BAB III,C. Diabetes Melitus Tipe-1,"[""aktivitas fisik dm tipe-1"",""pengelolaan dm tipe-1"",""hipoglikemia""]"
Q26,Kapan anak dengan diabetes perlu melakukan pemeriksaan keton mandiri?,50,BAB III,C. Diabetes Melitus Tipe-1,"[""tata laksana saat sakit"",""pemeriksaan keton"",""komplikasi akut kad""]"
Q27,"Kalau anak dengan diabetes sedang sakit, kenapa pengelolaannya perlu perhatian khusus?",52,BAB III,C. Diabetes Melitus Tipe-1,"[""tata laksana saat sakit"",""pengelolaan dm tipe-1"",""edukasi diabetes dm tipe-1""]"
Q28,"Kalau anak dengan diabetes harus menjalani operasi, tata laksananya bertujuan untuk apa?",56,BAB III,C. Diabetes Melitus Tipe-1,"[""pengelolaan operasi"",""pengelolaan dm tipe-1"",""komplikasi akut kad""]"
Q29,"Dalam edukasi untuk anak dengan DM tipe-1 dan keluarganya, tujuan utamanya apa?",64,BAB III,C. Diabetes Melitus Tipe-1,"[""edukasi diabetes dm tipe-1"",""aspek psikososial"",""pengelolaan dm tipe-1""]"
Q30,"Pada anak dengan DM tipe-2, skrining komplikasi biasanya mencakup apa saja?",117,BAB IV,G. Diabetes Melitus Tipe-2,"[""komplikasi dm tipe-2"",""monitoring dm tipe-2"",""rekomendasi dm tipe-2""]"
Q31,"Kalau membandingkan DM tipe-1, tipe-2, dan monogenik pada anak, apa perbedaan utamanya?",14,BAB III,A. Definisi dan Klasifikasi,"[""klasifikasi diabetes"",""diagnosis dm tipe-2""]"
Q32,"Untuk membedakan tipe diabetes pada anak, peran C-peptide dan autoantibodi itu apa?",15,BAB III,A. Definisi dan Klasifikasi,"[""pemeriksaan c-peptida"",""diagnosis dm tipe-1"",""diagnosis dm tipe-2""]"
Q33,"Pada DM tipe-1, kondisi apa saja yang termasuk dalam rekomendasi skrining komplikasi dan komorbiditas?",18,BAB III,C. Diabetes Melitus Tipe-1,"[""skrining komplikasi dm tipe-1"",""skrining komorbiditas dm tipe-1"",""rekomendasi skrining komplikasi dm tipe-1""]"
Q34,"Saat menentukan dosis insulin harian pada anak dengan DM tipe-1, hal apa saja yang perlu dipertimbangkan?",34,BAB III,C. Diabetes Melitus Tipe-1,"[""dosis insulin"",""pemantauan hba1c"",""terapi insulin""]"
Q35,"Kalau pola makan berubah, misalnya saat puasa Ramadan, penyesuaian dosis insulin biasanya seperti apa?",36,BAB III,C. Diabetes Melitus Tipe-1,"[""penyesuaian insulin"",""regimen insulin"",""puasa ramadhan""]"
Q36,"Sebelum anak dengan DM tipe-1 berolahraga, apa saja yang perlu dicek dulu?",47,BAB III,C. Diabetes Melitus Tipe-1,"[""aktivitas fisik dm tipe-1"",""penyesuaian insulin"",""pemeriksaan keton""]"
Q37,"Kalau anak dengan DM tipe-1 menjalani operasi mayor, penyesuaian insulin biasanya seperti apa?",58,BAB III,C. Diabetes Melitus Tipe-1,"[""pengelolaan operasi"",""terapi insulin"",""penyesuaian insulin""]"
Q38,"Kalau anak atau remaja dengan DM tipe-1 ingin berpuasa Ramadan, risiko apa yang perlu diwaspadai?",60,BAB III,C. Diabetes Melitus Tipe-1,"[""puasa ramadhan"",""edukasi diabetes dm tipe-1"",""tata laksana saat sakit""]"
Q39,"Pada DM tipe-1, skrining retinopati dan nefropati biasanya mulai kapan?",91,BAB III,C. Diabetes Melitus Tipe-1,"[""skrining komplikasi dm tipe-1"",""komplikasi kronik dm tipe-1"",""rekomendasi skrining komplikasi dm tipe-1""]"
Q40,"Pada anak dengan diabetes, kenapa pertumbuhan perlu dipantau secara rutin?",95,BAB III,C. Diabetes Melitus Tipe-1,"[""pertumbuhan dm tipe-1"",""pengelolaan dm tipe-1"",""penyakit penyerta dm tipe-1""]"
Q41,"Untuk anak dengan DM tipe-2, edukasinya sebaiknya fokus ke hal apa?",97,BAB III,D. Diabetes Melitus Tipe-2,"[""edukasi dm tipe-2"",""gaya hidup dm tipe-2"",""terapi medikamentosa dm tipe-2""]"
Q42,"Untuk anak dengan DM tipe-2, pola makan seperti apa yang dianjurkan PNPK?",98,BAB III,D. Diabetes Melitus Tipe-2,"[""pengaturan makan dm tipe-2"",""gaya hidup dm tipe-2""]"
Q43,"Untuk anak dan remaja dengan DM tipe-2, anjuran aktivitas fisiknya seperti apa?",99,BAB III,D. Diabetes Melitus Tipe-2,"[""aktivitas fisik dm tipe-2"",""gaya hidup dm tipe-2""]"
Q44,Contoh aktivitas fisik yang dianjurkan dan batasan aktivitas sedentari pada DM tipe-2 itu seperti apa?,100,BAB III,D. Diabetes Melitus Tipe-2,"[""aktivitas fisik dm tipe-2"",""gaya hidup dm tipe-2""]"
Q45,"Apa tujuan terapi obat pada DM tipe-2 anak, dan kapan metformin mulai bisa diberikan?",101,BAB III,D. Diabetes Melitus Tipe-2,"[""terapi medikamentosa dm tipe-2"",""gaya hidup dm tipe-2""]"
Q46,"Kalau target HbA1c pada DM tipe-2 belum tercapai, langkah terapi berikutnya biasanya apa?",102,BAB III,D. Diabetes Melitus Tipe-2,"[""terapi medikamentosa dm tipe-2"",""monitoring dm tipe-2"",""terapi insulin""]"
Q47,"Pada DM tipe-2, pemantauan HbA1c dan glukosa darah mandiri biasanya dilakukan seperti apa?",103,BAB III,D. Diabetes Melitus Tipe-2,"[""monitoring dm tipe-2"",""terapi medikamentosa dm tipe-2"",""diagnosis dm tipe-2""]"
Q48,"Pada anak dengan DM tipe-2, komorbiditas atau komplikasi apa yang paling sering ditemukan?",104,BAB III,D. Diabetes Melitus Tipe-2,"[""komplikasi dm tipe-2"",""monitoring dm tipe-2""]"
Q49,"Pada DM tipe-2 anak, apa yang perlu diketahui tentang albuminuria dan dislipidemia?",105,BAB III,D. Diabetes Melitus Tipe-2,"[""komplikasi dm tipe-2"",""monitoring dm tipe-2""]"
Q50,"Secara umum, manajemen komorbiditas dan komplikasi DM tipe-2 dirangkum seperti apa dalam PNPK?",118,BAB IV,G. Diabetes Melitus Tipe-2,"[""komplikasi dm tipe-2"",""rekomendasi dm tipe-2""]"
